CourseName,Credit,Class,CourseID
大学语文,2.0,人文与社会类，教室在三校区,20152049012
《孟子》讲析,2.0,人文与社会类，教室在三校区,20152049006
天文学概论,2.0,自然与工程类，已修“普通天文学”课程,20152024016
诺贝尔奖物理实验,1.0,自然与工程类，上课地点：1区物理楼3,20152011098
中日近代化比较,2.0,中国与全球类,20152029003
元素营养与健康,1.0,自然与工程类,20152025105
《四书》导读,1.0,人文与社会类,20152033089
摄影技术与赏析,1.0,艺术与欣赏类,20152023086
公民教育概论,1.0,人文与社会类,20152042020
马克思主义与当代西方社会思潮,1.0,人文与社会类,20152033095
佛教文化,1.0,人文与社会类,20152031113
商务沟通与谈判,1.0,交流与写作类,20152005445
水资源经济,1.0,人文与社会类,20152005447
方言与中国文化,1.0,人文与社会类,20152031112
世界华文文学经典欣赏,1.0,艺术与欣赏类,20152031117
当代世界经济与政治,1.0,中国与全球类,20152034085
工程项目管理,1.0,"研究与领导类，刘全,",20152016150
创业营销,1.0,人文与社会类,20152005474
创新思维与方法,1.0,人文与社会类,20152005457
能源与环境,1.0,自然与工程类,20152014140
人类与微生物,1.0,自然与工程类,20152025102
人文化学,2.0,人文与社会类,20152012109
基础韩国语,3.0,交流与写作类,20152062005
数学精神与方法,2.0,数学与推理类,20152056165
舞蹈形体与气质培养,1.0,艺术与欣赏类，艺术系1号排练厅,20152032075
地下空间与未来世界,1.0,自然与工程类,20152020093
生物恐怖与生物安全,1.0,自然与工程类，1区,20152027054
治水与社会发展,1.0,人文与社会类,20152016095
地下空间的开发和利用,1.0,"自然与工程类，陈俊涛,",20152016162
纳米科技的基础和应用,1.0,自然与工程类,20152011096
人类生存环境与考古学研究,1.0,人文与社会类,20152029087
佛教文化,1.0,人文与社会类,20152031114
大学生专利设计与实践,1.0,自然与工程类,20152020013
水与人类生存,1.0,人文与社会类,20152016034
大学生职业规划与就业,1.0,人文与社会类，建议工学部同学选修,20152080002
心理咨询与治疗,1.0,人文与社会类,20152083006
大学生心理健康,1.0,人文与社会类,20152083005
《大学》之道与中国人的修养,1.0,中国与全球类,20152079002
大学生就业指导,1.0,人文与社会类，仅限医学部同学选修,20152080006
大学生生涯规划,1.0,人文与社会类，仅限医学部同学选修,20152080009
全球变化与环境导论,1.0,自然与工程类,20152014141
环境健康学,1.0,自然与工程类,20152028003
性与社会,1.0,人文与社会类,20152028004
西方近现代兵法,1.0,中国与全球类,20152041007
化学的今天与明天,1.0,自然与工程类,20152012110
近代化学发展史,1.0,自然与工程类,20152012111
计算机信息检索与利用(文)1,2.0,人文与社会类，上课地点：图书馆总馆D,20152053003
医学信息检索与利用1,2.0,自然与工程类，上课地点：医学分馆电子,20152053007
网络信息资源检索与利用1,2.0,自然与工程类，上课地点：工学分馆二楼,20152053002
大众传播学概论,2.0,人文与社会类,20152003101
中国文化概论,2.0,人文与社会类,20152031116
战略管理,2.0,研究与领导类,20152005455
文学与人生,2.0,人文与社会类,20152031146
化学世界,2.0,自然与工程类,20152012116
C语言程序设计,2.0,数学与推理类,20152047071
建筑材料与人居环境,2.0,自然与工程类,20152016023
建筑装饰材料与建筑装饰风格,2.0,自然与工程类,20152016205
战略管理,2.0,研究与领导类,20152005453
生命科学导论（理、工科）,2.0,自然与工程类,20152013086
电子商务,2.0,人文与社会类,20152005452
音乐基础,2.0,艺术与欣赏类,20152032076
西方哲学史,2.0,中国与全球类,20152033085
科学技术史,2.0,自然与工程类,20152042022
地下水环境,2.0,自然与工程类，朱焱,20152016131
Visual Basic程序设计,2.0,数学与推理类,20152047089
中国文学简史,2.0,人文与社会类，教室在一校区,20152049013
大学现代化,2.0,无,20152029084
深度开放中的中国经济,2.0,中国与全球类，全英文教学,20152005460
对联欣赏与写作,2.0,交流与写作类,20152031147
Inventor产品设计及新标准,2.0,自然与工程类，自带电脑,20152019196
材料科学导论,2.0,自然与工程类，肖文凯，李晓天，薛龙建,20152018008
